"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3b","s1q4","s1q4a","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q11","s1q12","s1q12a","s1q12a_os","s1q12b","s1q12c","s1q13","s1q15","s1q16","s1q16b","s1q17","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q28b","s1q29","s1q30","s1q31a","s1q31b","s1q31c","s1q31d","s1q32","s1q33","s1q34","s1q34b","s1q35","s1q36","s1q36b","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41"
4,1,104,2,1364,10018,2,2,2,,42,1,2,,,,1,2,,1,1,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,3,1,3,,17,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,4,1,3,,15,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,5,2,3,,10,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,1,,57,1,2,,,,6,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,3,,36,1,2,,,,1,2,,1,3,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,3,2,9,,27,1,2,,,,1,2,,1,2,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,4,1,6,,4,1,1,15,2,2012,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,5,2,6,,22,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,6,2,3,,28,1,2,,,,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,7,2,6,,3,1,1,5,3,2013,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,8,1,6,,2,1,1,7,1,2014,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,1,1,,57,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,2,2,2,,33,1,2,,,,1,2,,1,1,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,1,"ABA SOUTH",102,"ABIA",1,,,,,,,,,,,,,
4,1,106,2,880,10021,4,2,3,,17,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,5,2,3,,15,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,1,1,1,,54,1,2,,,,1,2,,1,2,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
