"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b"
3,17,1702,2,510,170094,1,2,60,10,8,15,1,
3,17,1702,2,510,170095,1,2,3,10,10,13,1,
3,17,1702,2,510,170097,1,1,4,6,1,16,1,
3,17,1702,2,510,170098,1,2,2,11,11,15,1,
3,17,1727,2,634,170106,1,2,6,10,9,13,1,
3,17,1727,2,634,170107,1,2,22,6,4,15,1,
3,17,1712,2,794,170112,1,2,11,7,3,13,1,
3,17,1712,2,794,170113,1,1,4,11,8,13,1,
3,17,1712,2,794,170115,1,1,74,24,1,14,1,
3,17,1724,2,786,170123,1,1,72,10,10,15,1,
3,17,1724,2,786,170124,1,1,80,29,10,14,1,
3,18,1804,1,2690,180001,1,2,50,17,9,14,1,
3,18,1804,1,2690,180005,1,2,53,17,9,13,1,
3,18,1809,1,1272,180014,1,1,92,99,2,13,1,
3,18,1809,1,1272,180020,1,2,34,3,4,14,1,
3,18,1823,1,1822,180024,1,2,65,18,12,13,1,
3,18,1823,1,1822,180029,1,1,7,20,12,14,1,
3,18,1803,2,840,180031,1,2,23,1,8,14,1,
3,18,1803,2,840,180033,1,1,7,6,10,15,1,
3,18,1803,2,840,180033,2,2,6,15,6,16,1,
3,18,1816,1,378,180043,1,1,30,20,1,13,1,
3,18,1805,2,534,180055,1,1,72,22,10,14,1,
3,18,1805,2,534,180057,1,1,22,20,10,14,1,
3,18,1805,2,534,180060,1,2,3,16,6,14,1,
3,18,1817,2,370,180064,1,2,10,12,8,13,1,
3,18,1817,2,370,180068,1,1,4,99,7,14,1,
3,18,1817,2,370,180070,1,2,2,10,5,13,1,
3,18,1808,2,1726,180073,1,2,57,31,12,15,1,
3,18,1808,2,1726,180078,1,2,55,23,12,14,1,
3,18,1811,2,364,180089,1,1,45,25,1,13,2,
3,18,1820,2,450,180097,1,1,81,21,10,13,1,
3,18,1817,2,0,180107,1,2,3,3,9,14,1,
3,18,1817,2,0,180107,2,1,68,24,12,14,6,"HEPATITIS"
3,18,1817,2,0,180110,1,1,2,11,6,13,6,"DYSENTRY"
3,19,1925,2,3394,190010,1,2,47,12,9,15,1,
3,19,1921,1,842,190012,1,2,0,2,8,15,1,
3,19,1925,2,0,190016,1,1,4,17,2,14,1,
3,19,1943,2,668,190029,1,2,3,99,5,12,1,
3,19,1943,2,668,190029,2,2,5,99,7,14,1,
3,19,1916,2,1516,190038,1,1,52,99,8,14,1,
3,19,1916,2,1516,190038,2,1,3,17,9,15,1,
3,19,1914,2,934,190084,1,2,5,15,12,15,1,
3,19,1925,1,2858,190101,1,1,,99,99,13,1,
3,19,1925,1,2858,190105,1,1,1,7,6,13,1,
3,19,1912,1,1510,190115,1,1,57,28,12,15,1,
3,19,1912,1,1510,190117,1,1,4,99,99,13,1,
3,19,1905,2,1290,190121,1,2,5,20,10,15,1,
3,19,1905,2,1290,190124,1,1,70,99,5,14,1,
3,19,1905,2,1290,190126,1,2,9,99,3,14,1,
3,19,1910,2,808,190138,1,1,2,13,1,16,1,
3,19,1934,2,386,190153,1,2,2,2,12,15,1,
3,19,1919,2,366,190164,1,1,6,99,10,15,1,
3,19,1919,2,366,190170,1,2,4,24,5,12,1,
3,19,1928,2,526,190171,1,1,58,14,11,15,1,
3,19,1928,2,526,190179,1,2,3,99,99,13,1,
3,19,1932,2,562,190187,1,1,13,12,11,15,1,
3,19,1923,2,0,190191,1,2,4,99,4,14,1,
3,19,1923,2,284,190196,1,2,30,5,4,14,1,
3,20,2021,1,3300,200010,1,1,6,2,2,13,1,
3,20,2021,1,3300,200010,2,1,12,21,9,16,1,
3,20,2018,2,1134,200017,1,2,46,28,10,15,1,
3,20,2018,2,1134,200017,2,1,61,19,9,15,1,
3,20,2005,2,970,200022,1,1,7,20,5,14,1,
3,20,2005,2,970,200025,1,1,3,5,7,13,1,
3,20,2003,2,784,200032,1,2,5,9,9,14,1,
3,20,2003,2,784,200033,1,1,0,4,2,15,1,
3,20,2003,2,784,200033,2,1,0,7,8,15,1,
3,20,2003,2,784,200035,1,1,0,10,9,15,1,
3,20,2030,2,1050,200044,1,2,6,10,7,14,1,
3,20,2030,2,1050,200044,2,2,6,5,5,15,1,
3,20,2032,2,1772,200065,1,1,6,10,10,15,1,
3,20,2015,2,1746,200078,1,1,82,20,5,14,5,
3,20,2001,2,1354,200092,1,2,4,18,3,14,1,
3,20,2001,2,1354,200100,1,2,8,20,11,15,4,
3,20,2025,2,760,200106,1,1,50,99,10,15,1,
