"zone","state","lga","sector","ea","hhid","shock_cd","s15aq1","s15aq1b","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq3d","s15aq3e","s15aq4a","s15aq4b","s15aq4c","s15aq5a","s15aq5b","s15aq5c","s15aq5d","s15aq6a","s15aq6b","s15aq6c"
5,3,321,2,364,30057,10,1,,1,,,,1,,,,3,14,,,,98,,
5,3,321,2,364,30060,1,1,,1,1,,,,,1,,,5,8,6,4,98,,
5,3,329,2,696,30066,5,1,,1,,,,1,,1,,,21,,,,,,
5,3,329,2,696,30066,9,1,,1,,,,1,,,2,,21,,,,,,
5,3,329,2,696,30066,17,1,,1,,,,1,,3,,,21,,,,,,
5,3,323,2,580,30075,2,1,,1,,1,,,,,2,,8,,,,1,,
5,3,323,2,580,30076,2,1,,1,,,1,,,,2,,21,,,,1,,
5,3,323,2,580,30077,5,1,,1,1,,,,,,2,,21,14,,,,,
5,3,323,2,580,30077,9,1,,2,,,,1,1,,,3,,,,,21,,
5,3,323,2,580,30077,13,1,,1,1,,,,,1,,,,,,,22,,
5,3,323,2,580,30078,13,1,,1,,1,,,,1,,,13,,,,,,
5,3,313,2,70,30095,3,1,,2,,1,1,,,1,,,21,,,,1,2,3
5,3,313,2,70,30095,8,1,,3,,,1,1,,3,,,4,,,,1,2,3
5,3,301,1,1198,30102,2,1,,2,,1,1,,,2,,,2,,,,1,2,
5,3,301,1,1198,30104,1,1,,1,,,,1,,1,,,,,,,98,,
5,3,326,2,74,30111,5,1,,1,1,,,,,1,,,21,,,,1,2,3
5,3,326,2,74,30111,8,1,,1,,,,,1,3,,,,,,,1,2,
5,3,326,2,74,30111,9,1,,1,,,,1,,2,,,,,,,1,2,
5,3,326,2,74,30111,11,1,,1,,,,1,,3,,,,,,,2,1,
5,3,326,2,74,30113,18,1,,1,,,,,1,1,,,21,,,,1,2,
5,3,326,2,74,30114,1,1,,2,,1,,,,1,2,,4,2,5,8,98,,
5,3,326,2,74,30114,2,1,,1,,,,1,,,,,,,,,,,
5,3,326,2,74,30117,1,1,,1,,,,,1,,,,1,,,,2,3,4
5,3,326,2,74,30118,6,1,,1,1,,,1,,1,,,21,5,6,,1,2,
5,3,326,2,74,30118,7,1,,1,1,1,,,,3,,,5,,,,1,2,
5,3,326,2,74,30118,8,1,,2,1,,1,,,3,,,5,,,,1,2,
5,3,326,2,74,30118,12,1,,1,,1,,,,3,,,3,2,15,,1,2,
5,3,326,2,74,30118,21,1,,2,1,,1,,,2,,,14,,,,1,2,
5,3,305,2,1542,30123,2,1,,,,,,1,,2,,,1,,,,1,,
5,3,305,2,1542,30125,9,1,,1,,,,1,,2,1,,,,,,2,,
5,3,312,2,20,30134,2,1,,,,,1,,,2,,,8,13,,,1,2,
5,3,312,2,20,30139,1,1,,1,1,,,,,2,,,8,4,21,21,98,,
5,3,312,2,20,30139,9,1,,4,,,1,,,1,,,4,8,3,2,98,,
5,3,312,2,20,30140,2,1,,1,,,,1,,,,,,,,,98,,
5,3,312,2,20,30140,9,1,,1,1,,,,,,,,,,,,98,,
5,3,305,2,4,30144,1,1,,1,,,,,1,2,2,,22,,,,98,,
5,3,305,2,4,30149,2,1,,1,,,1,,,2,,,5,,,,98,,
4,4,418,1,44,40003,21,1,,1,,,,1,,1,,,21,,,,1,,
4,4,418,1,44,40004,2,1,,1,,,,1,,,,,7,8,,,2,,
4,4,418,1,44,40004,5,1,,1,,,,1,,,,,7,8,,,2,,
4,4,418,1,44,40005,2,1,,,,1,,,,1,,,11,,,,1,2,
4,4,418,1,44,40005,21,1,,2,1,1,1,1,,,,,21,,,,1,2,
4,4,418,1,44,40006,1,1,,1,,1,,,,,,,,,,,,,
4,4,418,1,44,40006,11,1,,2,,,1,,,,,,,,,,,,
4,4,418,1,44,40006,21,1,,1,,,,1,,,,,,,,,,,
4,4,418,1,44,40007,21,1,,5,1,1,1,1,1,2,,,15,,,,98,,
4,4,418,1,44,40008,3,1,,1,1,,,,,1,,,15,7,11,14,98,,
4,4,418,1,44,40010,1,1,,,,,1,,,,,,,,,,1,,
4,4,417,1,678,40011,20,1,,,,,1,,,,,,14,8,15,,,,
4,4,417,1,678,40012,5,1,,,1,,,,,,,,11,8,3,,,,
4,4,417,1,678,40012,20,1,,,,1,,,,,,,,,,,,,
4,4,417,1,678,40013,1,1,,1,,,,1,,1,,,21,,,,98,,
4,4,417,1,678,40015,18,1,,,,1,1,1,,2,,,11,,,,,,
4,4,417,1,678,40015,19,1,,,,1,1,1,,1,,,15,,,,,,
4,4,417,1,678,40015,20,1,,,,,1,1,,3,,,21,,,,,,
4,4,416,1,616,40021,2,1,,1,,,,1,,1,,,21,,,,98,,
4,4,416,1,616,40023,2,1,,1,,,,1,,1,,,21,,,,98,,
4,4,416,1,616,40029,3,1,,1,1,,,,,1,,,8,3,15,,,,
4,4,416,1,616,40030,6,1,,1,,1,,,,1,,,4,,,,1,,
4,4,414,1,2176,40034,2,1,,1,,,,,1,1,,,21,,,,98,,
4,4,415,1,2108,40042,9,1,,5,1,1,1,1,1,1,,,14,8,15,,,,
4,4,415,1,2108,40042,21,1,,5,1,1,1,1,1,1,,,14,8,15,,,,
4,4,415,1,2108,40044,1,1,,,,1,,1,,,,,1,11,15,22,1,2,
4,4,415,1,2108,40046,21,1,,1,,,,1,,1,,,7,8,,,1,,
4,4,415,1,2108,40047,6,1,,,,,,1,,1,,,7,22,,,98,,
4,4,413,2,1540,40052,1,1,,1,,,,,,1,2,3,1,2,3,,1,2,3
4,4,413,2,1540,40053,6,1,,1,,,,1,,1,,,4,,,,1,3,4
4,4,413,2,1540,40053,20,1,,3,1,1,,1,,2,,,21,,,,98,,
4,4,413,2,1540,40058,20,1,,1,,,,1,,2,,,7,,,,98,,
4,4,413,2,1540,40058,22,1,"NO MONEY",,,,,1,,1,,,7,,,,98,,
4,4,413,2,1540,40059,5,1,"JOB LOSS",3,,,1,1,1,1,2,3,21,15,11,,1,2,
4,4,413,2,1540,40060,9,1,,1,,,,1,,1,,,14,,,,1,2,
4,4,405,2,722,40061,1,1,,,,1,,,,1,,,11,8,7,,98,,
4,4,405,2,722,40061,14,1,,,1,,1,,,2,,,7,,,,98,,
4,4,405,2,722,40061,20,1,,,1,1,1,1,,3,,,11,,,,98,,
4,4,405,2,722,40065,2,1,,1,,,,1,,,,,,,,,1,2,3
4,4,405,2,722,40067,22,1,"SPONSOR OF SON'S ED.",,,,,1,,1,,,8,12,,,2,,
4,4,405,2,722,40069,3,1,,1,,,,,1,1,,,8,15,,,98,,
4,4,405,2,722,40070,3,1,,3,1,1,1,1,,1,,,8,,,,98,,
4,4,405,2,722,40070,17,1,,2,,,,1,1,2,,,21,,,,98,,
4,4,405,2,484,40077,20,1,,20,1,1,1,1,1,1,,,14,,,,1,2,3
4,4,405,2,484,40079,1,1,,,,,,,1,2,,,8,,,,98,,
4,4,405,2,484,40079,2,1,,,1,,,,,1,,,8,,,,98,,
4,4,405,2,484,40079,20,1,,,,,,,,3,,,21,,,,98,,
4,4,405,2,484,40080,20,1,,10,1,1,1,,,1,,,21,,,,98,,
4,4,419,2,296,40081,1,1,,1,,,,1,,1,,,1,6,4,16,98,,
4,4,419,2,296,40083,3,1,,,,,1,1,1,1,,,11,8,,,98,,
4,4,419,2,296,40085,1,1,,1,,,,1,,1,,,7,8,12,,1,,
4,4,419,2,296,40086,8,1,,1,,,,,1,1,,,7,12,14,15,1,2,
4,4,401,1,1460,40091,20,1,,5,,,1,1,1,1,,,7,12,14,15,1,2,3
4,4,401,1,1460,40099,18,1,,5,1,1,1,1,1,2,,,7,14,15,12,1,2,
4,4,401,1,1460,40099,20,1,,5,1,1,1,1,1,1,,,7,14,15,12,1,2,
4,4,401,1,1460,40100,20,1,,3,,,1,1,1,1,,,14,15,12,,1,2,3
4,4,412,2,2592,40103,3,1,,,,,,,1,2,,,7,15,,,,,
4,4,412,2,2592,40103,5,1,,,,,,1,,1,,,8,7,10,15,,,
4,4,412,2,2592,40103,20,1,,,,1,1,1,1,3,,,15,,,,,,
4,4,412,2,2592,40107,2,1,,1,,,,1,,1,,,21,,,,98,,
4,4,412,2,2592,40109,1,1,,1,1,,,,,1,,,7,8,,,1,2,3
4,4,412,2,1606,40112,3,1,,1,,,,1,1,1,,,7,8,15,,,,
4,4,412,2,1606,40112,15,1,,1,,,,1,,1,,,21,,,,,,
4,4,412,2,1606,40113,1,1,,1,,,,1,,1,,,1,,,,98,,
4,4,412,2,1606,40116,2,1,,1,,,,1,,1,,,11,,,,98,,
4,4,412,2,1606,40118,1,1,,1,,,1,,,1,,,7,,,,1,,
4,4,412,2,1606,40119,1,1,,1,,,1,,,1,,,7,8,,,1,2,3
4,4,410,2,4036,40124,2,1,,1,,,,1,,1,,,21,,,,98,,
4,4,410,2,4036,40125,1,1,,1,1,,,,,1,,,21,,,,,,
4,4,410,2,4036,40128,1,1,,1,,,,1,,1,,,1,,,,98,,
4,4,407,2,796,40134,12,1,,1,,,,1,,1,,,21,,,,1,,
4,4,407,2,796,40138,22,1,,2,,1,,,1,1,,,21,,,,98,,
4,4,410,1,3192,40141,18,1,,5,1,1,1,1,1,2,,,21,,,,98,,
4,4,410,1,3192,40141,20,1,,5,1,1,1,1,1,1,,,21,,,,98,,
4,4,410,1,3192,40144,18,1,,1,,,1,,,3,,,7,14,15,,,,
4,4,410,1,3192,40144,20,1,,1,,,1,,,2,,,7,14,15,,,,
4,4,410,1,3192,40144,22,1,,1,,,,1,,1,,,7,14,15,,,,
4,4,410,1,3192,40145,9,1,,1,,,,1,,3,,,12,7,14,15,98,,
4,4,410,1,3192,40145,20,1,,10,,,,1,1,2,,,12,7,14,15,98,,
4,4,410,1,3192,40145,22,1,,6,,,,1,1,1,,,12,7,14,15,98,,
4,4,410,1,3192,40146,22,1,,1,,,,1,,1,,,12,,,,3,4,5
4,4,410,1,3192,40148,4,1,,1,,,1,,,1,,,6,3,11,10,98,,
4,4,410,1,3414,40151,5,1,,1,,,,1,,1,,,21,,,,98,,
4,4,410,1,3414,40155,20,1,,12,,,1,1,1,1,,,14,,,,98,,
4,4,410,1,3414,40155,22,1,,5,,,,1,1,2,,,22,,,,2,3,
4,4,410,1,3414,40160,9,1,,,,,,1,,2,,,8,7,,,98,,
4,4,410,1,3414,40160,15,1,,,,,,1,,1,,,8,7,,,98,,
4,4,410,1,3414,40160,18,1,,,1,1,1,1,1,,,,21,,,,98,,
4,4,410,1,3414,40160,20,1,,,1,1,1,1,1,3,,,8,7,,,98,,
4,4,401,1,738,40163,6,1,,1,,,1,,,1,,,8,7,4,,6,5,7
4,4,401,1,738,40163,7,1,,1,,,,1,,2,,,21,,,,98,,
4,4,401,1,738,40163,18,1,,3,1,1,1,1,1,,,,21,,,,98,,
4,4,401,1,738,40163,20,1,,3,1,1,1,1,1,3,,,21,,,,98,,
4,4,401,1,738,40166,20,1,,,,1,1,,,1,,,7,,,,1,,
4,4,401,1,738,40167,1,1,,1,1,,,,,1,,,7,8,12,14,98,,
4,4,401,1,738,40167,20,1,,1,,,,,1,1,,,14,15,,,98,,
4,4,421,1,800,40172,2,1,,1,,1,,,,1,,,8,14,15,1,1,,
4,4,421,1,800,40172,12,1,,1,,,,1,,2,,,14,8,,,98,,
4,4,421,1,800,40172,20,1,,5,1,1,1,1,1,3,,,14,15,,,98,,
4,4,421,1,800,40176,14,1,,1,,1,,,,1,,,21,,,,4,,
4,4,421,1,800,40177,1,1,,,1,,,,,1,,,8,,,,98,,
4,4,421,1,800,40177,3,1,,,1,1,1,1,1,2,,,8,,,,98,,
4,4,411,1,1486,40189,1,1,,1,,,,1,,1,,,6,,,,98,,
4,4,402,2,1080,40210,1,1,,1,1,,,,,1,,,5,8,7,6,98,,
4,4,403,2,836,40211,1,1,,1,1,,,,,1,,,10,8,7,15,98,,
4,4,403,2,836,40212,1,1,,1,,,,,1,1,,,7,8,,,98,,
4,4,403,2,836,40214,9,1,,1,,1,,,,1,,,,,,,21,,
2,5,506,2,830,50001,8,1,,1,,,,,1,1,,,21,,,,2,,
2,5,506,2,830,50001,13,1,,5,1,1,1,1,1,1,,,2,,,,98,,
2,5,506,2,830,50002,2,1,,1,,,1,,,3,,,,,,,1,,
2,5,506,2,830,50002,12,1,,,1,,,,,1,6,,,,,,1,,
2,5,506,2,830,50002,18,1,,,1,,,,,7,,,,,,,1,,
2,5,506,2,830,50002,21,1,,,,,,1,,7,,,,,,,1,,
