"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q4","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q10a","s1q10b","s1q10c","s1q10d","s1q11","s1q12","s1q13","s1q14","s1q15","s1q16","s1q17","s1q18a","s1q18b","s1q18c","s1q19","s1q20","s1q21","s1q21b","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q29","s1q30","s1q31","s1q32","s1q32b","s1q33","s1q33b","s1q34","s1q35","s1q36a","s1q36b","s1q36c","s1q36d","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41","s1q42","s1q42b","s1q43","s1q43b","s1q44","s1q44b","s1q45","s1q46","s1q46b","trackingobs"
4,1,104,2,1364,10018,4,1,3,9,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,5,2,3,7,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,2,1,55,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,2,1,3,28,2,,,,1,,,,,,,1,3,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,3,2,9,22,2,,,,1,,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,4,1,6,1,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,5,2,6,0,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,6,2,3,19,1,17,12,1992,7,,,,,,,,,2,,,,,,,,,5,5,,1,,2,,2,16,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,1,2,1,29,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,2,2,3,8,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,3,1,3,6,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,4,1,8,16,2,,,,7,,,,,,,,,1,1,,2,19,22,7,1992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10020,5,1,3,9,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,1,1,50,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,2,2,2,32,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,1,3,12,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,4,2,3,10,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,5,2,3,8,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,1,1,48,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,2,2,37,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,1,3,14,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,4,1,3,13,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,5,2,3,10,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,6,1,3,6,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,1,1,48,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,2,2,2,40,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,1,2,1,79,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,2,2,3,53,2,,,,7,,,,,,,,,1,1,,2,41,24,12,1970,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,1,1,28,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,2,2,2,25,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,3,2,3,1,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,1,2,1,82,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,2,2,6,12,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,1,1,49,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,2,2,47,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,3,1,3,22,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,4,1,3,16,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,5,1,3,8,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10028,1,2,1,86,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,1,1,38,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,2,2,27,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,3,1,3,3,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,4,2,3,1,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,1,1,48,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,2,2,37,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,3,2,3,17,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,1,3,15,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,5,2,3,13,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,6,2,3,11,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,7,2,3,8,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,8,1,3,6,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,1,1,1,40,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,2,2,2,37,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,3,1,3,6,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10031,4,1,3,5,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
