"zone","state","lga","sector","ea","ric","hhid","wt_wave1","wt_combined","hhno","qno","qnoa","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq16","saq17d","saq17m","saq17y","saq18ah","saq18am","saq18bh","saq18bm","saq20","saq21d","saq21m","saq21y","saq22ah","saq22am","saq22bh","saq22bm","saq24","sq1","sq2","trackingobs"
4,1,107,2,1044,1504,10069,4759.462890625,4759.462890625,1,1,1,5,1,8,3,2011,9,0,13,0,2,,,,,,,,,,,,,,,,,1,1,0
4,1,107,2,1044,1504,10070,4759.462890625,4759.462890625,13,1,1,5,1,9,3,2011,9,15,13,25,3,9,3,2011,13,50,15,0,2,,,,,,,,,1,1,0
4,1,117,2,560,1010,10071,5892.66796875,5892.66796875,3,1,2,3,1,16,3,2011,13,20,15,30,3,16,3,2011,15,40,17,0,1,,,,,,,,,1,1,0
4,1,117,2,560,1010,10072,5892.66796875,5892.66796875,16,1,2,3,1,16,3,2011,8,20,10,30,3,16,3,2011,11,0,13,5,1,,,,,,,,,1,1,0
4,1,117,2,560,1010,10073,5892.66796875,5892.66796875,6,1,2,2,1,16,3,2011,9,50,12,35,2,,,,,,,,,,,,,,,,,1,1,0
4,1,117,2,560,1010,10074,5892.66796875,5892.66796875,1,1,2,2,1,16,3,2011,12,40,15,55,2,,,,,,,,,,,,,,,,,1,1,0
4,1,117,2,560,1010,10075,5892.66796875,5892.66796875,15,1,2,4,1,16,3,2011,16,45,17,25,3,17,3,2011,10,20,14,15,1,,,,,,,,,1,1,0
4,1,117,2,560,1010,10076,5892.66796875,5892.66796875,9,1,2,4,1,16,3,2011,13,45,16,20,3,17,3,2011,16,30,17,48,2,,,,,,,,,1,1,0
4,1,117,2,560,1010,10077,5892.66796875,5892.66796875,7,1,2,4,1,16,3,2011,10,27,13,14,3,17,3,2011,14,30,16,5,2,,,,,,,,,1,1,0
4,1,117,2,560,1010,10078,5892.66796875,5892.66796875,2,1,1,5,1,16,3,2011,13,45,17,18,3,17,3,2011,9,15,12,18,2,,,,,,,,,1,1,0
4,1,117,2,560,1010,10079,5892.66796875,5892.66796875,8,1,1,5,1,17,3,2011,12,40,16,45,2,,,,,,,,,,,,,,,,,1,1,0
4,1,117,2,560,1010,10080,5892.66796875,5892.66796875,10,1,1,5,1,16,3,2011,9,0,13,10,2,,,,,,,,,,,,,,,,,1,1,0
4,1,110,2,76,1106,10081,7479.15576171875,9348.9443359375,19,1,2,4,1,19,3,2011,10,25,13,45,3,20,3,2011,14,40,16,21,1,,,,,,,,,1,1,0
4,1,110,2,76,1106,10082,7479.15576171875,9348.9443359375,1,1,2,4,1,19,3,2011,14,5,16,55,3,20,3,2011,10,30,14,10,1,,,,,,,,,1,1,0
4,1,110,2,76,1106,10083,7479.15576171875,9348.9443359375,43,1,1,2,1,19,3,2011,10,45,13,35,2,,,,,,,,,,,,,,,,,1,1,0
4,1,110,2,76,1106,10084,7479.15576171875,9348.9443359375,25,1,2,2,1,19,3,2011,8,31,10,25,1,,,,,,,,,,,,,,,,,1,1,0
4,1,110,2,76,1106,10085,7479.15576171875,9348.9443359375,7,1,2,2,1,17,3,2011,8,35,10,40,2,,,,,,,,,,,,,,,,,1,1,0
4,1,110,2,76,1106,10086,7479.15576171875,9348.9443359375,16,1,2,3,1,19,3,2011,8,30,10,20,3,19,3,2011,12,0,13,45,1,,,,,,,,,1,1,0
4,1,110,2,76,1106,10087,7479.15576171875,9348.9443359375,40,1,2,3,1,17,3,2011,12,30,14,10,3,17,3,2011,14,20,16,30,1,,,,,,,,,1,1,0
4,1,110,2,76,1106,10088,7479.15576171875,9348.9443359375,10,1,2,3,1,17,3,2011,8,30,10,20,3,17,3,2011,10,30,12,15,1,,,,,,,,,1,1,0
4,1,110,2,76,1106,10089,7479.15576171875,9348.9443359375,13,1,1,5,1,19,3,2011,9,12,12,35,2,,,,,,,,,,,,,,,,,1,1,0
4,1,110,2,76,1106,10090,7479.15576171875,9348.9443359375,28,1,1,5,1,19,3,2011,12,45,16,15,2,,,,,,,,,,,,,,,,,1,1,0
4,1,105,2,638,1507,10091,4532.82177734375,5666.02734375,18,1,1,5,1,14,3,2011,9,0,13,15,2,,,,,,,,,,,,,,,,,1,1,0
4,1,105,2,638,1507,10092,4532.82177734375,5666.02734375,11,1,1,5,1,15,3,2011,12,15,17,15,2,,,,,,,,,,,,,,,,,1,1,0
4,1,105,2,638,1507,10093,4532.82177734375,5666.02734375,2,1,2,3,1,14,3,2011,8,30,10,30,3,14,3,2011,11,0,13,0,1,,,,,,,,,1,1,0
4,1,105,2,638,1507,10094,4532.82177734375,5666.02734375,7,1,2,3,1,14,3,2011,13,5,15,20,3,14,3,2011,15,30,17,15,1,,,,,,,,,1,1,0
4,1,105,2,638,1507,10095,4532.82177734375,5666.02734375,13,1,2,4,1,14,3,2011,12,45,14,18,3,15,3,2011,10,20,13,4,1,,,,,,,,,1,1,0
4,1,105,2,638,1507,10096,4532.82177734375,5666.02734375,5,1,2,4,1,14,3,2011,14,35,16,47,3,15,3,2011,16,15,18,48,1,,,,,,,,,1,1,0
4,1,105,2,638,1507,10097,4532.82177734375,5666.02734375,14,1,2,4,1,14,3,2011,10,32,12,35,3,15,3,2011,13,20,16,7,1,,,,,,,,,1,1,0
4,1,105,2,638,1507,10098,4532.82177734375,5666.02734375,10,1,1,2,1,14,3,2011,10,35,12,38,1,,,,,,,,,,,,,,,,,1,1,0
4,1,105,2,638,1507,10099,4532.82177734375,5666.02734375,4,1,2,2,1,14,3,2011,12,42,15,50,1,,,,,,,,,,,,,,,,,1,1,0
4,1,105,2,638,1507,10100,4532.82177734375,5666.02734375,17,1,1,5,1,14,3,2011,13,35,17,45,3,15,3,2011,9,30,12,0,2,,,,,,,,,1,1,0
4,1,108,2,904,1205,10101,7479.15576171875,7479.15576171875,16,1,1,3,1,17,3,2011,14,50,16,10,3,17,3,2011,16,18,17,50,1,,,,,,,,,1,1,0
4,1,108,2,904,1205,10102,7479.15576171875,7479.15576171875,12,1,2,3,1,17,3,2011,9,20,11,30,3,17,3,2011,12,0,14,15,1,,,,,,,,,1,1,0
4,1,108,2,904,1205,10103,7479.15576171875,7479.15576171875,23,1,2,3,1,18,3,2011,8,30,10,15,3,18,3,2011,10,30,12,0,1,,,,,,,,,1,1,0
4,1,108,2,904,1205,10104,7479.15576171875,7479.15576171875,1,1,1,2,1,19,3,2011,9,39,12,30,1,,,,,,,,,,,,,,,,,1,1,0
4,1,108,2,904,1205,10105,7479.15576171875,7479.15576171875,7,1,2,2,1,18,3,2011,12,57,15,45,1,,,,,,,,,,,,,,,,,1,1,0
4,1,108,2,904,1205,10106,7479.15576171875,7479.15576171875,1,1,2,2,1,18,3,2011,10,38,12,52,1,,,,,,,,,,,,,,,,,1,1,0
4,1,108,2,904,1205,10107,7479.15576171875,7479.15576171875,3,1,1,5,1,18,3,2011,9,30,13,30,2,,,,,,,,,,,,,,,,,1,1,0
4,1,108,2,904,1205,10108,7479.15576171875,7479.15576171875,18,1,2,4,1,17,3,2011,10,23,13,15,3,18,3,2011,10,20,13,4,1,,,,,,,,,1,1,0
4,1,108,2,904,1205,10109,7479.15576171875,7479.15576171875,32,1,2,4,1,17,3,2011,13,42,15,10,3,18,3,2011,13,25,16,28,1,,,,,,,,,1,1,0
4,1,108,2,904,1205,10110,7479.15576171875,7479.15576171875,14,1,1,5,1,18,3,2011,14,5,17,45,2,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20001,3489.77734375,4081.61108398438,4,1,2,2,1,2,3,2011,18,47,20,48,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20002,3489.77734375,4081.61108398438,9,1,2,5,1,2,3,2011,13,58,16,20,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20003,3489.77734375,4081.61108398438,17,1,2,3,1,3,3,2011,7,16,10,21,1,,,,,,,,,,,,,,,,,1,1,0
