"zone","state","lga","sector","ea","hhid","lat_dd_mod","lon_dd_mod","qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2010_tot","h2010_wetQ","h2010_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2010_eviarea","h2010_evimax","h2010_grn","h2010_sen"
4,1,117,2,560,10071,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.5,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10072,5.91892832509,7.42249845731,2,0.6,6.9,58,511.9,43.7,261,247,2003,309,854,17,120,313,7.975548,233,13,6,2,2,2,1,1,1,2,1730,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10073,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.6,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10074,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.5,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10075,5.91892832509,7.42249845731,2,0.6,6.9,58,511.9,43.7,261,247,2003,309,854,17,120,313,7.975548,233,13,6,2,2,2,1,1,1,2,1730,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10076,5.91892832509,7.42249845731,1,0.5,7,58.1,512,43.6,261,247,2003,309,854,17,120,313,7.975548,227,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10077,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.6,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10078,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.5,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10079,5.91892832509,7.42249845731,1,0.4,7,58.1,512.1,43.5,261,247,2003,309,854,17,120,313,7.975548,232,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,117,2,560,10080,5.91892832509,7.42249845731,1,0.5,7,58.1,512,43.6,261,247,2003,309,854,17,120,313,7.975548,227,12,6,2,2,2,1,1,1,2,1731,810,15,1642,648,10,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10081,5.77121166469,7.7768731363,1,29.1,7.8,80.1,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,123,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10082,5.77121166469,7.7768731363,1,29,7.8,80.2,553.8,40.8,266,252,2051,313,884,43,30,313,6.379084,122,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10083,5.77121166469,7.7768731363,1,29,7.8,80.1,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,123,12,4,2,2,2,1,1,1,2,1899,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10084,5.77121166469,7.7768731363,1,29.1,7.9,80.1,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,130,13,4,2,2,2,1,1,1,2,1899,902,16,1595,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10085,5.77121166469,7.7768731363,1,29,7.8,80.2,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,123,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10086,5.77121166469,7.7768731363,1,29,7.8,80.2,553.8,40.8,266,252,2051,313,884,43,30,313,6.379084,122,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10087,5.77121166469,7.7768731363,1,29,7.8,80.1,553.8,40.8,266,252,2051,313,884,43,30,313,6.379084,122,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10088,5.77121166469,7.7768731363,1,29,7.8,80.2,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,123,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10089,5.77121166469,7.7768731363,1,29,7.8,80.2,553.8,40.8,266,252,2051,313,884,43,30,313,6.379084,122,12,4,2,2,2,1,1,1,2,1900,902,16,1596,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,110,2,76,10090,5.77121166469,7.7768731363,1,29.1,7.8,80.1,553.7,40.8,266,252,2051,313,884,43,30,313,6.379084,130,13,4,2,2,2,1,1,1,2,1899,902,16,1595,643,13,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10091,5.38520298007,7.5278870437,1,13.6,11.6,32.6,535.7,18.8,262,249,2212,333,932,55,30,314,5.485827,100,17,4,3,2,1,1,1,1,1,1942,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10092,5.38520298007,7.5278870437,1,13.5,11.5,32.7,535.7,18.6,262,249,2212,333,932,55,30,314,5.485827,102,14,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10093,5.38520298007,7.5278870437,1,13.4,11.4,32.7,535.6,18.6,261,248,2218,334,934,55,30,314,3.91153,105,14,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10094,5.38520298007,7.5278870437,1,13.5,11.5,32.7,535.6,18.6,262,249,2212,333,932,55,30,314,5.485827,102,14,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10095,5.38520298007,7.5278870437,1,13.5,11.5,32.7,535.7,18.7,262,249,2212,333,932,55,30,314,5.485827,102,13,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10096,5.38520298007,7.5278870437,1,13.6,11.5,32.7,535.8,18.7,262,249,2212,333,932,53,30,314,5.485827,95,16,4,3,2,1,1,1,1,1,1942,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10097,5.38520298007,7.5278870437,1,13.5,11.5,32.7,535.7,18.7,262,249,2212,333,932,55,30,314,5.485827,102,13,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10098,5.38520298007,7.5278870437,1,13.5,11.5,32.7,535.6,18.6,262,249,2212,333,932,55,30,314,5.485827,102,14,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10099,5.38520298007,7.5278870437,1,13.5,11.4,32.7,535.6,18.6,262,249,2212,333,932,55,30,314,5.485827,102,14,4,3,2,1,1,1,1,1,1941,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,105,2,638,10100,5.38520298007,7.5278870437,1,13.6,11.6,32.6,535.8,18.8,262,249,2212,333,932,55,30,314,5.485827,100,17,4,3,2,1,1,1,1,1,1942,913,17,1634,677,11,37.8,0.499,108,334,43,0.5105,100,339
