"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b","tracked_obs"
5,10,1001,2,172,100018,1,2,62,11,8,12,1,,0
5,10,1007,1,1166,100021,1,1,7,22,1,13,1,,0
5,10,1010,2,20,100078,1,1,0,2,3,1,6,"STILL BIRTH",0
5,10,1005,2,1374,100085,1,1,10,22,12,12,1,,0
5,10,1005,2,1374,100086,1,1,28,8,1,12,1,"DEATH",0
5,10,1018,2,898,100102,1,2,2,12,12,12,1,"DEATH OF FRIEND,s.CH",0
4,11,1104,1,2028,110008,1,1,49,20,6,11,1,,0
4,11,1112,2,1952,110013,1,1,8,15,12,12,1,,0
4,11,1112,2,1952,110018,1,2,29,14,2,13,1,,0
4,11,1112,2,1952,110018,2,1,3,10,12,12,1,,0
4,11,1105,2,100,110067,1,1,71,8,1,13,1,,0
4,11,1107,2,1034,110093,1,1,2,30,12,12,1,,0
4,11,1107,2,1034,110098,1,1,50,28,12,12,1,,0
4,11,1109,2,672,110104,1,1,79,4,1,13,1,,0
4,11,1109,2,672,110106,1,1,79,4,1,13,1,,0
4,11,1109,2,672,110108,1,1,30,5,5,12,3,,0
4,11,1113,2,954,110115,1,1,77,10,12,11,1,,0
4,11,1113,2,954,110116,1,1,62,11,7,12,1,,0
4,11,1102,2,936,110125,1,2,33,19,1,13,1,,0
5,12,1212,1,0,120031,1,2,34,5,3,12,6,"child birth",1
5,12,1210,2,462,120065,1,2,68,19,12,12,1,,0
5,12,1204,2,736,120071,1,2,72,1,8,12,1,,0
4,14,1401,2,1116,140001,1,1,78,11,2,13,1,,0
4,14,1408,2,1996,140021,1,1,95,20,7,12,1,,0
4,14,1408,2,1996,140028,1,1,32,6,3,13,1,,0
4,14,1408,2,1996,140028,2,1,65,28,4,12,1,,0
4,14,1408,2,1996,140029,1,2,32,6,3,13,1,,0
4,14,1413,1,2578,140039,1,1,75,19,8,12,1,,0
4,14,1415,2,952,140044,1,1,85,25,12,12,1,,0
4,14,1406,2,694,140067,1,1,80,21,6,12,1,,0
4,14,1410,2,236,140086,1,1,80,2,12,12,1,,0
4,14,1411,2,1066,140120,1,2,68,20,4,12,1,,0
4,14,1416,2,2314,140128,1,1,36,18,8,12,3,,0
4,14,1415,2,156,140139,1,2,45,20,11,12,1,,0
2,15,1506,1,398,150004,1,2,1,5,1,1,3,,0
2,15,1508,2,1682,150011,1,1,48,1,8,13,1,,0
2,15,1511,2,1938,150021,1,1,2,20,11,12,1,,0
2,15,1511,2,1938,150025,1,1,3,24,6,12,1,,0
2,15,1502,2,590,150032,1,1,1,25,3,11,1,,0
2,15,1502,2,590,150032,2,1,1,8,9,11,1,,0
2,15,1510,2,616,150041,1,2,18,22,12,12,1,,0
